CASEID,REGION,METRO,MSASIZE,HH_SIZE,FAMINCOME,HH_NUMKIDS,HOUSETYPE,AGEYCHILD,HH_NUMADULTS,AGE,SEX,RACE,HISPAN,GENHEALTH,BMI,EDUC,EDUCYRS,SCHLCOLL,FULLPART,UHRSWORKT,HH_NUMOWNKIDS,PED,SED_EAT,FOODSHOP,SODA,STORE,EXFREQ,FASTFDFREQ,ENOUGHFD,ACT_CAREHH,ACT_CARENHH,ACT_EDUC,ACT_FOOD,ACT_HHACT,ACT_PURCH,ACT_RELIG,ACT_SOCIAL,ACT_SPORTS,ACT_VOL,ACT_WORK,ACT_SLEEPING
2.01E+13,4,1,6,3,1,1,1,0,2,20,2,100,210,1,33.2,21,112,1,NA,NA,1,30,2,1,NA,2,NA,NA,1,30,0,0,30,0,0,0,30,90,0,0,1145
2.01E+13,1,1,7,2,11,1,1,16,1,16,2,110,100,2,22.7,16,111,2,1,35,0,45,14,3,NA,1,NA,1,1,0,0,0,45,40,0,0,200,0,0,465,540
2.01E+13,3,2,6,6,10,3,1,2,3,65,2,100,240,5,49.4,17,112,NA,NA,NA,0,60,0,2,2,NA,NA,NA,1,180,0,0,60,300,0,0,255,0,0,0,555
2.01E+13,3,4,0,1,1,0,1,NA,1,50,2,110,100,2,NA,21,112,NA,NA,NA,0,0,0,1,1,2,NA,NA,1,0,0,0,0,10,0,110,460,0,0,0,780
2.01E+13,3,4,0,2,3,1,1,8,1,23,2,110,100,4,31,20,111,1,NA,NA,1,65,0,1,2,1,5,NA,1,175,0,0,65,315,0,0,120,0,0,60,645
2.01E+13,3,1,6,2,13,0,1,NA,2,85,1,110,100,NA,NA,15,110,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,30,30,0,0,1140,0,0,0,240
2.01E+13,3,4,0,3,11,1,1,1,2,27,1,100,100,3,30.7,40,216,1,1,72,1,20,10,2,1,NA,2,3,1,0,0,0,20,0,10,0,105,0,0,645,585
2.01E+13,3,1,5,3,14,1,1,0,2,28,1,100,100,2,33.3,32,215,1,1,40,1,30,5,3,2,2,NA,3,1,60,0,0,30,15,0,0,180,30,0,555,450
2.01E+13,1,2,5,1,9,0,1,NA,1,63,2,100,100,2,27.5,30,215,NA,2,9995,0,30,5,1,NA,1,3,1,1,0,35,0,30,166,0,0,582,0,0,0,425
2.01E+13,4,2,6,1,15,0,1,NA,1,85,1,100,100,3,25.8,41,318,NA,NA,NA,0,117,10,1,NA,1,6,NA,1,0,0,0,117,61,0,0,607,30,0,0,520
2.01E+13,3,2,6,2,13,0,1,NA,2,66,2,100,100,1,28.3,21,112,NA,1,40,0,80,0,1,1,3,NA,2,1,0,210,0,80,105,40,0,430,0,0,0,495
2.01E+13,1,2,5,2,7,0,1,NA,2,54,1,100,100,4,40.5,21,112,NA,NA,NA,0,35,20,1,1,1,NA,5,1,0,0,0,35,15,0,0,655,0,0,0,670
2.01E+13,3,1,5,4,4,3,1,0,1,31,2,100,240,3,28,21,112,1,NA,NA,3,0,5,1,2,1,NA,NA,1,120,0,0,0,305,30,0,265,0,0,0,690
2.01E+13,3,2,6,3,16,1,1,1,2,35,1,100,100,3,27.9,41,318,1,1,45,1,25,10,2,2,NA,NA,5,1,63,0,0,25,36,4,0,47,0,0,513,551
2.01E+13,3,1,3,2,11,0,1,NA,2,80,1,100,100,3,30.4,13,107,NA,NA,NA,0,150,5,2,1,NA,NA,NA,1,0,0,0,150,0,0,0,710,0,0,0,510
2.01E+13,2,1,6,2,9,0,1,NA,2,37,1,202,100,2,26.8,30,112,1,NA,NA,0,0,300,2,NA,NA,NA,1,1,0,0,0,0,50,25,0,540,0,0,10,380
2.01E+13,2,2,4,4,14,2,1,10,2,41,2,100,100,3,32.9,32,216,1,1,40,2,80,0,2,NA,NA,NA,3,1,125,0,0,80,0,15,0,120,0,0,479,459
2.01E+13,2,3,2,1,7,0,1,NA,1,85,2,100,100,2,25.8,13,107,NA,NA,NA,0,105,2,1,2,1,7,NA,1,0,0,0,105,380,0,0,255,0,0,0,535
